order_id,customer_id,product_id,order_date,quantity,amount,product_name,category,state,city,zone
1001,C001,P101,2024-01-01,2,159.98,Premium Wireless Headphones,Electronics,Maharashtra,Mumbai,West
1002,C002,P102,2024-01-01,1,899.99,4K Smart TV,Electronics,Karnataka,Bangalore,South
1003,C001,P103,2024-01-02,3,89.97,Yoga Mat,Sports & Fitness,Maharashtra,Mumbai,West
1004,C003,P104,2024-01-02,1,1299.99,Gaming Laptop,Electronics,Delhi,New Delhi,North
1005,C004,P105,2024-01-02,2,39.98,Cotton T-Shirt,Apparel,Tamil Nadu,Chennai,South
1006,C002,P106,2024-01-03,1,129.99,Running Shoes,Sports & Fitness,Karnataka,Bangalore,South
1007,C005,P107,2024-01-03,4,79.96,Protein Powder,Health & Nutrition,Gujarat,Ahmedabad,West
1008,C006,P101,2024-01-04,1,79.99,Premium Wireless Headphones,Electronics,West Bengal,Kolkata,East
1009,C007,P108,2024-01-04,2,159.98,Designer Jeans,Apparel,Maharashtra,Pune,West
1010,C008,P109,2024-01-05,1,549.99,Smartphone,Electronics,Karnataka,Bangalore,South
1011,C009,P110,2024-01-05,3,89.97,Resistance Bands Set,Sports & Fitness,Tamil Nadu,Chennai,South
1012,C010,P111,2024-01-06,1,299.99,Coffee Maker,Home & Kitchen,Delhi,New Delhi,North
1013,C001,P112,2024-01-06,2,59.98,Scented Candles,Home & Kitchen,Maharashtra,Mumbai,West
1014,C011,P113,2024-01-07,1,199.99,Fitness Tracker,Electronics,Telangana,Hyderabad,South
1015,C012,P114,2024-01-07,4,119.96,Vitamin Pack,Health & Nutrition,Gujarat,Ahmedabad,West
1016,C013,P115,2024-01-08,1,899.99,iPad,Electronics,Karnataka,Bangalore,South
1017,C014,P116,2024-01-08,2,159.98,Dress Shoes,Apparel,Maharashtra,Mumbai,West
1018,C015,P117,2024-01-09,1,79.99,Blender,Home & Kitchen,Delhi,New Delhi,North
1019,C016,P118,2024-01-09,3,149.97,Yoga Pants,Sports & Fitness,West Bengal,Kolkata,East
1020,C017,P119,2024-01-10,1,399.99,Gaming Console,Electronics,Tamil Nadu,Chennai,South 